
# BEST (mask_ratio(0.5) embedding initialize, head_petition, shuffle=True)
TrainLoss : 9.31307, Train_NSPAcc: 50.20%, Train_MLMAcc: 1.82%, ValidLoss : 8.198, ValidNspAcc : 50.08%, Valid_MLMAcc: 2.34%
TrainLoss : 7.77398, Train_NSPAcc: 53.52%, Train_MLMAcc: 1.94%, ValidLoss : 8.820, ValidNspAcc : 47.76%, Valid_MLMAcc: 1.49%
TrainLoss : 7.81605, Train_NSPAcc: 47.95%, Train_MLMAcc: 2.10%, ValidLoss : 8.393, ValidNspAcc : 52.47%, Valid_MLMAcc: 1.70%
TrainLoss : 7.64960, Train_NSPAcc: 50.20%, Train_MLMAcc: 2.08%, ValidLoss : 8.228, ValidNspAcc : 52.27%, Valid_MLMAcc: 2.22%
TrainLoss : 7.60479, Train_NSPAcc: 51.27%, Train_MLMAcc: 1.95%, ValidLoss : 8.097, ValidNspAcc : 48.65%, Valid_MLMAcc: 2.26%
TrainLoss : 7.58685, Train_NSPAcc: 51.76%, Train_MLMAcc: 2.03%, ValidLoss : 8.048, ValidNspAcc : 49.09%, Valid_MLMAcc: 2.20%
TrainLoss : 7.54841, Train_NSPAcc: 49.80%, Train_MLMAcc: 2.07%, ValidLoss : 8.313, ValidNspAcc : 50.31%, Valid_MLMAcc: 2.23%
TrainLoss : 7.53800, Train_NSPAcc: 49.12%, Train_MLMAcc: 2.16%, ValidLoss : 8.258, ValidNspAcc : 53.16%, Valid_MLMAcc: 2.23%
TrainLoss : 7.51066, Train_NSPAcc: 48.24%, Train_MLMAcc: 2.17%, ValidLoss : 8.622, ValidNspAcc : 51.74%, Valid_MLMAcc: 2.02%
TrainLoss : 7.51304, Train_NSPAcc: 51.17%, Train_MLMAcc: 2.11%, ValidLoss : 8.272, ValidNspAcc : 50.47%, Valid_MLMAcc: 2.46%
TrainLoss : 7.47197, Train_NSPAcc: 50.88%, Train_MLMAcc: 2.28%, ValidLoss : 8.319, ValidNspAcc : 50.52%, Valid_MLMAcc: 2.53%
TrainLoss : 7.46668, Train_NSPAcc: 51.66%, Train_MLMAcc: 2.18%, ValidLoss : 8.231, ValidNspAcc : 50.36%, Valid_MLMAcc: 2.36%
TrainLoss : 7.42449, Train_NSPAcc: 50.98%, Train_MLMAcc: 2.45%, ValidLoss : 8.318, ValidNspAcc : 49.63%, Valid_MLMAcc: 2.06%
TrainLoss : 7.41525, Train_NSPAcc: 49.51%, Train_MLMAcc: 2.40%, ValidLoss : 8.166, ValidNspAcc : 52.27%, Valid_MLMAcc: 2.48%
TrainLoss : 7.45191, Train_NSPAcc: 51.56%, Train_MLMAcc: 2.37%, ValidLoss : 8.259, ValidNspAcc : 46.95%, Valid_MLMAcc: 2.68%
TrainLoss : 7.37246, Train_NSPAcc: 49.71%, Train_MLMAcc: 2.53%, ValidLoss : 8.145, ValidNspAcc : 51.10%, Valid_MLMAcc: 3.22%
TrainLoss : 7.34932, Train_NSPAcc: 50.49%, Train_MLMAcc: 2.48%, ValidLoss : 8.117, ValidNspAcc : 48.24%, Valid_MLMAcc: 3.60%
TrainLoss : 7.29552, Train_NSPAcc: 51.76%, Train_MLMAcc: 2.81%, ValidLoss : 8.255, ValidNspAcc : 50.60%, Valid_MLMAcc: 2.59%
TrainLoss : 7.27740, Train_NSPAcc: 54.39%, Train_MLMAcc: 2.79%, ValidLoss : 8.161, ValidNspAcc : 50.56%, Valid_MLMAcc: 4.04%
TrainLoss : 7.27689, Train_NSPAcc: 50.88%, Train_MLMAcc: 3.10%, ValidLoss : 8.220, ValidNspAcc : 49.92%, Valid_MLMAcc: 3.51%
TrainLoss : 7.23349, Train_NSPAcc: 54.00%, Train_MLMAcc: 3.02%, ValidLoss : 7.912, ValidNspAcc : 51.50%, Valid_MLMAcc: 4.45%
TrainLoss : 7.18622, Train_NSPAcc: 51.07%, Train_MLMAcc: 3.21%, ValidLoss : 8.029, ValidNspAcc : 47.34%, Valid_MLMAcc: 4.75%
TrainLoss : 7.18279, Train_NSPAcc: 53.03%, Train_MLMAcc: 3.24%, ValidLoss : 7.964, ValidNspAcc : 50.16%, Valid_MLMAcc: 5.01%
TrainLoss : 7.13528, Train_NSPAcc: 55.57%, Train_MLMAcc: 3.31%, ValidLoss : 7.980, ValidNspAcc : 52.76%, Valid_MLMAcc: 4.97%
TrainLoss : 7.09483, Train_NSPAcc: 55.96%, Train_MLMAcc: 3.24%, ValidLoss : 7.937, ValidNspAcc : 50.37%, Valid_MLMAcc: 5.75%
TrainLoss : 7.02808, Train_NSPAcc: 54.00%, Train_MLMAcc: 3.66%, ValidLoss : 7.828, ValidNspAcc : 49.58%, Valid_MLMAcc: 7.09%
TrainLoss : 6.99830, Train_NSPAcc: 56.25%, Train_MLMAcc: 3.79%, ValidLoss : 7.806, ValidNspAcc : 51.44%, Valid_MLMAcc: 7.42%
TrainLoss : 6.98057, Train_NSPAcc: 54.30%, Train_MLMAcc: 4.16%, ValidLoss : 7.747, ValidNspAcc : 53.87%, Valid_MLMAcc: 8.32%
